ambient,coolant,u_d,u_q,motor_speed,torque,i_d,i_q,pm,stator_yoke,stator_tooth,stator_winding,timestamp,failure
27.49080237694725,42.41844910800191,137.99898659398224,82.88674102330435,1195.648164817666,169.44731553928395,96.62208124703812,-182.93555906577325,167.26960144409802,177.88864837172346,124.54022781518619,26.95250964038971,0,1
39.01428612819832,39.974725773884195,-189.29280264077306,-24.424527879484117,379.2711006482321,98.90340874387408,152.44075003852674,131.40184787063487,46.14855722912998,183.2910392212328,114.85489692150172,39.60511487671564,1,0
34.6398788362281,30.569234750171603,-92.01618337806829,278.69911491836444,505.4368998888639,39.093122126437166,-14.728049848399621,-100.27696709623694,190.36348315494772,88.10701791597928,83.18665092860026,97.84936163707819,2,0
31.973169683940732,56.436000206089275,97.96838211469094,-168.61292940945708,722.6845127236871,147.32835732201852,-84.32850733063697,-86.42505425765243,171.78034074437736,61.69353002320322,108.77827842129985,190.3197126857583,3,0
23.12037280884873,48.59744963051773,-10.746393285312024,52.71384959936438,814.6133374597935,83.73562713665915,-72.4613702578154,-109.50188866045379,185.39359368200044,54.498989154337046,85.71739438085785,33.4787536840996,4,0
23.119890406724053,71.94205953944022,143.1426231809363,120.1260089941336,969.0472368421763,118.92549669049943,78.77930334575757,136.03358208878478,71.41599324410831,178.75155722499912,138.42764038606742,149.83702503253812,5,0
21.161672243363988,21.926574828923496,276.72474073371586,195.33869360722895,1021.8401158539776,21.453058034787766,27.02321359659848,191.56079816252094,80.40258904636178,61.620054053688904,170.305337118874,111.32022458036472,6,0
37.3235229154987,58.63207565330758,-230.07198737088152,-55.81738174319574,1822.8653819501437,126.31679790319845,-5.4023476090971485,102.07466037201414,104.58657821795762,115.5510284244532,161.6409986315574,69.65203769065545,7,0
32.022300234864176,65.77693271069367,125.74062983883658,112.15314459448894,2038.292763304165,74.71009778902487,-118.89036848953039,129.43114418767607,60.356119983904726,79.71307095415338,81.32463620695874,77.04530799104955,8,0
34.161451555920905,65.56919415129842,-161.79350662073128,-118.07911716943033,1235.5168325054237,66.83794994369889,150.18227499956134,48.20018420773508,103.77606602341838,109.80837889576715,111.69550889282932,24.114962216141336,9,0
20.411689885916047,73.1644380257315,-51.31396355545846,-38.71434458290781,3629.185679682913,195.98311575556025,112.40817900296241,11.509963358591477,21.656303403667028,82.23806330735647,21.918133883196226,146.07449603527692,10,0
39.39819704323989,63.74202456976965,-280.2823645229161,237.3762787220395,2212.5588933558183,86.48612855204945,-143.74455930430815,88.63120191620601,177.956582780843,72.73076889194533,176.6500650603839,38.074459165055615,11,1
36.648852816008436,75.66860369886177,-218.45557062438064,269.9445655985726,3149.907712133627,135.60767562314683,-53.04461815914533,-185.69484847751187,49.21292722736328,96.9181402302516,64.1712486533496,26.245302693119292,12,0
24.246782213565524,39.95939598925349,-108.1336265706602,131.29040815635886,3696.9513296833734,125.54550711476821,16.85283745555654,-175.43978975864133,110.15260920352128,79.92659660948418,99.39646894570423,104.2963599610761,13,0
23.636499344142013,50.19256500509258,-94.80851682720902,-75.38886553428898,652.5404583032208,20.860710177031528,-18.264550891387188,74.90939543047347,187.18876869108513,171.14443482371559,47.45908010341068,105.92157785371936,14,0
23.668090197068675,20.84477979697344,239.75112987725743,192.03467398479842,1711.4979348625382,149.58550741286322,-40.88166450490465,-65.97201416517677,167.77685767008916,124.51818986268604,142.05954303610676,137.85120307836567,15,0
26.084844859190753,20.417455238197473,145.08774555990908,-284.4797509647479,1732.8416068584352,64.63184068671531,87.53275902421171,-4.466257420690141,159.70242404941837,51.710064957099824,118.15357820427343,147.1587902369458,16,0
